id	category	behavior	entry	consumers	baseline_test	required_environment	target_phase	evidence_status
ENG-001	routing	custom agent on a builtin session is rejected rather than silently falling back	internal/application/service/session_agent_qa.go:27	all agent-chat clients	internal/application/service/agent_custom_engine_test.go	unit	P2	unverified
ENG-002	routing	trpc session submits a durable run after capability resolution	internal/application/service/session_agent_qa.go:161; internal/application/service/agent_run_graph.go:170	all agent-chat clients	internal/application/service/agent_run_admission_gate_test.go	isolated database	P1/P3	unverified
ENG-003	builtin-engine	builtin session constructs the existing AgentEngine with resolved capabilities	internal/application/service/agent_service.go:191	legacy agent-chat clients	internal/application/service/agent_service_test.go	unit	P2	unverified
ENG-004	durable-graph	worker executes a fenced graph from persisted run state	internal/application/service/agent_run_graph.go:314; internal/container/agent_runtime.go:24	trpc session clients	internal/application/service/agent_run_graph_test.go	isolated database	P3/P7	unverified
ENG-005	admission	client disconnect does not cancel durable admission	internal/application/service/agent_run_graph.go:170	SSE clients	internal/application/service/agent_run_disconnect_test.go	SQLite isolated database	P3	unverified
ENG-006	config	recovery admission is gated by enabled admission-enabled and worker-drain state	internal/application/service/agent_run_graph.go:177; internal/container/agent_runtime.go:348	operators and trpc clients	internal/application/service/agent_run_admission_gate_test.go	unit	P1/P7	unverified
MOD-001	model	model identity is frozen in a run snapshot and availability is rechecked on execution	internal/application/service/agent_run_graph.go:349	builtin and trpc sessions	internal/application/service/agent_run_identity_test.go	isolated database plus configured provider	P3	unverified
MOD-002	model	image input is retained only for a vision-capable resolved model	internal/application/service/session_agent_qa.go:104; internal/application/service/agent_run_graph.go:250	Web Desktop mobile CLI	internal/application/service/agent_run_graph_test.go	isolated database plus multimodal provider	P3/P5	unverified
TOOL-001	tools	allowed builtin tools are filtered by tenant scope and configured capabilities	internal/application/service/agent_service.go:840	builtin and trpc agent sessions	internal/application/service/agent_service_test.go	unit	P2	unverified
TOOL-002	recovery	unknown tool outcome waits for user unless durable evidence permits reuse query or retry	internal/agent/runtime/tool_executor.go	trpc agent runs	internal/agent/runtime/tool_recovery_test.go	isolated database and provider fault harness	P2/P7	unverified
TOOL-003	approval	tool plans are journaled and MCP OAuth and approval wait states remain distinct	internal/agent/runtime/tool_executor.go; internal/application/service/agent_run_graph.go	MCP consumers	internal/application/service/agent_connector_test.go	isolated database plus MCP OAuth service	P2/P4	unverified
