capability	sdk_version	source_symbol	evidence_level	result	gap	decision	owner_phase
RUN-01 tool round trip [ENG-003]	v1.10.0	sdk:runner/runner.go Runner.Run; sdk:agent/llmagent/llm_agent.go Run; repo:internal/agent/nativeprobe/runner_test.go TestNativeRunnerToolRoundTrip	Task2 deterministic unit (scriptedModel)	verified	仅本地单工具一次和后续 finished；不含 Provider/并发/恢复	原生采用	P3
RUN-02 native product race gate	v1.10.0	sdk:session/session.go Session.Clone/UpdateUserSession; repo:internal/agent/nativeprobe/runner_test.go	Task2 race FAIL	incompatible	当前 Runner+inmemory Session 有 race；仅在批准版本+完整 Session/Memory 配置的固定 `GOWORK=off go test -race ./internal/agent/nativeprobe -count=20 -v` 连续二十次零退出且无 race 后才可解除原生产品执行门；v1.10.0 仍 NO-GO	阻塞并修订规格	P0/P1/P3
RUN-03 terminal and cancellation [ENG-005]	v1.10.0	sdk:runner/runner.go ManagedRunner.Cancel/processSingleAgentEvent; repo:internal/application/service/agent_run_graph.go submitDurableAgentRun	fixed source	source-only	context 取消不等于外部已终止；HTTP 断开不取消 run；需 terminal/error/closed-channel/child cancel 故障测试	最小业务扩展	P2/P3/P7
RUN-04 resource ownership	v1.10.0	sdk:runner/runner.go Runner.Close; sdk:tool/mcp/toolset.go Close; sdk:memory/memory.go Service.Close	fixed source	source-only	Runner 仅关闭其自有资源；应用注入 Session/Memory/MCP/Sandbox 必须分别 drain/close；测试泄漏与重复关闭	最小业务扩展	P3/P4
RUN-05 limits and steering [ENG-001]	v1.10.0	sdk:agent/llmagent/option.go WithMaxLLMCalls/WithMaxToolIterations; sdk:runner/runner.go SteerableRunner; repo:internal/agent/runtime/contracts.go RunInputStore	fixed source	source-only	步数限制不是商业预算；inject/after 需稳定输入 ID 和 checkpoint 确认；旧 builtin 拒绝语义由新 API 明确替换	最小业务扩展	P2/P3
GRAPH-01 saver pending writes interrupt [ENG-004]	v1.10.0	sdk:graph/checkpoint.go CheckpointSaver.PutFull; sdk:graph/interrupt.go; repo:internal/agent/trpc/compatibility_probe.go	Task3 deterministic SQLite probe	verified	仅临时 SQLite 重开 pending write/interrupted state/call-probe-1；不含最终 Runner Session 组合	原生采用	P3/P7
GRAPH-02 existing SQLite kill policy [TOOL-002]	v1.10.0	repo:internal/agent/runtime/tool_recovery.go RecoveryAction; repo:internal/agent/recoverytest	Task3 runtime race PASS and isolated SQLite process harness	verified	现有仓库路径与 HTTP 计数替身；不是原生组合或外部效果恰好一次	最小业务扩展	P2/P3/P7
GRAPH-03 PostgreSQL recovery	v1.10.0	repo:internal/agent/recoverytest TestCrashMatrixPostgreSQL/TestTwoWorkerContentionPostgreSQL	Task3 explicit skip	blocked-env	TRPC_RECOVERY_PG_DSN 未设置；必须隔离数据库重跑	最小业务扩展	P3/P7
GRAPH-04 real provider recovery	v1.10.0	repo:internal/agent/recoverytest TestCrashAfterToolResult	Task3 explicit skip	blocked-env	TRPC_RECOVERY_GRAPH_PROVIDER 未设置；真实 Provider 结果查询和幂等未证明	最小业务扩展	P3/P7
GRAPH-05 nested Agent recovery	v1.10.0	sdk:agent/graphagent/graph_agent.go Run; sdk:graph/executor.go Execute; sdk:tool/agent/agent_tool.go callWithParentInvocation	fixed source	source-only	嵌套 LLMAgent 工具循环不是逐工具 checkpoint；原生组合须覆盖 recovery-gaps.md 六间隙	阻塞并修订规格	P0/P2/P3/P7
GRAPH-06 fencing and versions [ENG-002]	v1.10.0	repo:internal/agent/trpc/checkpoint.go scope/checkpointEnvelope; repo:internal/agent/runtime/contracts.go Fence	fixed source	source-only	SDK checkpoint 不证明外部效果；保留租约 epoch/graph+SDK+schema 版本验证，禁止旧历史恢复	最小业务扩展	P1/P3/P7
